country,date,title,url
"USA",2014-01-05,"Rodong Sinmun Calls for Achieving National Reunification",http://www.kcna.co.jp/item/2014/201401/news05/20140105-06ee.html
"USA",2014-01-04,"Kim Jong Un's Talk Posted on Website by Peruvian Social Body",http://www.kcna.co.jp/item/2014/201401/news04/20140104-01ee.html
"USA",2014-01-01,"Supreme Leader Kim Jong Un's New Year Address",http://www.kcna.co.jp/item/2014/201401/news01/20140101-01ee.html
"USA",2014-03-07,"KCNA Commentary Terms U.S. War Merchant",http://www.kcna.co.jp/item/2014/201403/news07/20140307-22ee.html
"USA",2014-03-03,"Rodong Sinmun Slams Japanese Chief Executive's Reckless Remarks",http://www.kcna.co.jp/item/2014/201403/news03/20140303-10ee.html
"USA",2014-01-13,"South Koreans Call for Peace against War",http://www.kcna.co.jp/item/2014/201401/news13/20140113-14ee.html
"USA",2014-01-12,"U.S. Plans to Reinforce Air Force in S. Korea",http://www.kcna.co.jp/item/2014/201401/news12/20140112-06ee.html
"USA",2014-01-21,"Kim Jong Un's New Year Address Supported by Cuban Personage",http://www.kcna.co.jp/item/2014/201401/news21/20140121-03ee.html
"USA",2014-01-17,"NDC of DPRK Advances Crucial Proposals to S. Korean Authorities",http://www.kcna.co.jp/item/2014/201401/news17/20140117-02ee.html
"USA",2014-01-20,"Seminar on Juche Idea Held in Japan",http://www.kcna.co.jp/item/2014/201401/news20/20140120-04ee.html
"USA",2014-01-20,"American Criminal Interviewed",http://www.kcna.co.jp/item/2014/201401/news20/20140120-14ee.html
"USA",2014-03-06,"It Is Hard to Tame Wolf: Tamer",http://www.kcna.co.jp/item/2014/201403/news06/20140306-17ee.html
"USA",2014-01-23,"Korean in U.S. Dismisses Commitments of Chief Executive of S. Korea as Unbelievable",http://www.kcna.co.jp/item/2014/201401/news23/20140123-12ee.html
"USA",2014-01-16,"Delegation of U.S. Asia Society Here",http://www.kcna.co.jp/item/2014/201401/news16/20140116-26ee.html
"USA",2014-02-01,"Kim Jong Un's Work Posted on Website of Nigerian Organization",http://www.kcna.co.jp/item/2014/201402/news01/20140201-01ee.html
"USA",2014-01-13,"Outside Forces, Obstacle to Korea's Reunification",http://www.kcna.co.jp/item/2014/201401/news13/20140113-16ee.html
"USA",2014-01-11,"Exploits Performed by Great Men of Mt. Paektu for Bolstering Militia Forces",http://www.kcna.co.jp/item/2014/201401/news11/20140111-18ee.html
"USA",2014-01-21,"It Is Steadfast Will of DPRK to Champion Peace: Rodong Sinmun",http://www.kcna.co.jp/item/2014/201401/news21/20140121-08ee.html
"USA",2014-01-18,"Message Sent to Bereaved Family of Rev. Mun Ik Hwan",http://www.kcna.co.jp/item/2014/201401/news18/20140118-17ee.html
